,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
1,138376,2019-03-16 22:53:25,4355790796238264643,fraud_Kiehn-Emmerich,grocery_pos,276.21,Tanner,Davis,M,2632 Stevens Light Apt. 213,Payson,IL,62360,39.8153,-91.2627,1656,Exhibition designer,1969-08-04,c89e3808ea9fe42a48a9f4f11bd85c4a,1331938405,39.39454,-91.141129,1,63334.0
2,3237,2019-01-02 19:03:24,6011542681743618,fraud_Grimes LLC,entertainment,61.02,Emily,Hall,F,8851 Reese Neck,Basye,VA,22810,38.8089,-78.7776,863,"Engineer, mining",1972-08-09,c6532f77b7c07df3acf1a3253f07c702,1325531004,37.820773,-78.642397,0,22937.0
3,65980,2019-02-08 22:25:23,180017442990269,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,942.03,Michelle,Anderson,F,28311 Dennis Trace,Albany,NY,12222,42.6853,-73.8253,151022,"Designer, textile",1939-06-01,5e503ac927d57cc406af1be41e4c0ff8,1328739923,41.944898,-74.820365,1,12758.0
4,2798,2019-01-02 10:33:19,3547560454237873,fraud_Christiansen-Gusikowski,misc_pos,4.55,Jerry,Robinson,M,212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",1966-12-21,b342d33c6c1cf232d1b1cca1946c8d9f,1325500399,44.74255,-85.91362600000001,0,49650.0
5,163694,2019-03-27 23:25:32,4003771737807706,fraud_Kuhn LLC,misc_net,821.02,Danielle,Hayden,F,03368 Michelle Trail,Gregory,AR,72059,35.1791,-91.2594,37,"Lecturer, further education",1958-01-01,f0ae809cbf8871a8c53e8eac57360a01,1332890732,34.287567,-91.18158,1,72140.0
6,1188,2019-01-01 14:13:20,6011381817520024,fraud_Flatley Group,misc_pos,6.76,Kristen,Allen,F,8619 Lisa Manors Apt. 871,Lagrange,WY,82221,41.6423,-104.1974,635,Product/process development scientist,1973-07-13,b0eb5b54e67cef86627bff68103daa28,1325427200,41.682194,-103.776368,0,69345.0
7,193,2019-01-01 02:22:54,4239552724014407,fraud_Conroy-Cruickshank,gas_transport,119.47,Carl,Hernandez,M,9134 Darryl Flat Suite 916,Paulding,OH,45879,41.141000000000005,-84.5722,6284,Secondary school teacher,1936-03-27,876d3955190af400d69a01a79a7dbceb,1325384574,41.746779,-84.601964,0,43554.0
8,100400,2019-02-28 22:02:41,4642894980163,fraud_Conroy Ltd,shopping_pos,747.73,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1990-07-13,82570b138d1b77528cfc7cb462dea74c,1330466561,41.344617,-95.772551,1,51526.0
9,19720,2019-01-12 23:57:00,4666314527820883145,"fraud_Kihn, Abernathy and Douglas",shopping_net,1116.8,Guy,Thompson,M,5812 Ramos Oval Suite 598,Ravenna,NE,68869,41.0233,-98.9041,2202,"Solicitor, Scotland",1974-06-21,cad6a618cba464438b5566597933f870,1326412620,41.192006,-99.230584,1,68855.0
10,197268,2019-04-11 23:39:33,4393520897625,fraud_Mohr-Bayer,shopping_net,970.76,Charles,Rodriguez,M,240 Tracy Forges,Easton,KS,66020,39.3391,-95.0999,1442,Air broker,1982-05-20,0f485f4d350e5e12e4c0e450ec5aeec9,1334187573,39.552561,-95.649264,1,66552.0
11,2396,2019-01-01 23:49:28,675990301623,fraud_Daugherty-Thompson,food_dining,5.83,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,1994-03-13,c5ed7e5ff7edcb506e2af2c1016f325d,1325461768,41.675321,-73.989317,0,12547.0
